epoch,train_loss,train_acc,val_loss,val_acc
245,0.0290,0.9910,0.1873,0.9595
246,0.0289,0.9910,0.1872,0.9595
247,0.0287,0.9910,0.1871,0.9596
248,0.0286,0.9911,0.1870,0.9596
249,0.0285,0.9911,0.1870,0.9596
250,0.0284,0.9911,0.1869,0.9597
251,0.0284,0.9911,0.1874,0.9596
252,0.0284,0.9911,0.1873,0.9596
253,0.0283,0.9912,0.1873,0.9597
254,0.0282,0.9912,0.1872,0.9597
255,0.0280,0.9913,0.1871,0.9598
256,0.0279,0.9913,0.1870,0.9598
257,0.0278,0.9913,0.1869,0.9599
258,0.0277,0.9914,0.1868,0.9600
259,0.0276,0.9914,0.1867,0.9600
260,0.0275,0.9914,0.1867,0.9601
261,0.0274,0.9915,0.1866,0.9601
262,0.0273,0.9915,0.1865,0.9602
263,0.0272,0.9915,0.1864,0.9602
264,0.0271,0.9916,0.1864,0.9603
265,0.0270,0.9916,0.1863,0.9603
266,0.0269,0.9916,0.1862,0.9604
267,0.0268,0.9916,0.1862,0.9605
268,0.0267,0.9917,0.1861,0.9605
269,0.0266,0.9917,0.1861,0.9606
270,0.0265,0.9917,0.1860,0.9606
271,0.0264,0.9918,0.1860,0.9606
272,0.0263,0.9918,0.1859,0.9607
273,0.0262,0.9918,0.1859,0.9607
274,0.0261,0.9919,0.1858,0.9608
275,0.0260,0.9919,0.1858,0.9608
276,0.0259,0.9919,0.1858,0.9609
277,0.0258,0.9919,0.1858,0.9609
278,0.0257,0.9920,0.1858,0.9609
279,0.0259,0.9919,0.1859,0.9609
280,0.0258,0.9920,0.1860,0.9610
281,0.0257,0.9920,0.1860,0.9610
282,0.0256,0.9920,0.1860,0.9610
283,0.0255,0.9920,0.1861,0.9611
284,0.0254,0.9921,0.1861,0.9611
285,0.0254,0.9921,0.1862,0.9611
286,0.0253,0.9921,0.1862,0.9612
287,0.0252,0.9921,0.1862,0.9612
288,0.0251,0.9922,0.1863,0.9613
289,0.0250,0.9922,0.1863,0.9613
290,0.0249,0.9922,0.1864,0.9613
291,0.0248,0.9923,0.1864,0.9614
292,0.0247,0.9923,0.1865,0.9614
293,0.0247,0.9923,0.1865,0.9614
294,0.0246,0.9923,0.1866,0.9615
295,0.0245,0.9924,0.1867,0.9615
296,0.0244,0.9924,0.1867,0.9615
297,0.0243,0.9924,0.1868,0.9616
298,0.0243,0.9924,0.1869,0.9616
299,0.0243,0.9924,0.1871,0.9616
300,0.0243,0.9924,0.1871,0.9616
301,0.0242,0.9925,0.1870,0.9616
302,0.0241,0.9925,0.1870,0.9616
303,0.0240,0.9925,0.1869,0.9617
304,0.0240,0.9925,0.1868,0.9617
305,0.0239,0.9926,0.1867,0.9617
306,0.0238,0.9926,0.1867,0.9617
307,0.0237,0.9926,0.1866,0.9618
308,0.0236,0.9926,0.1865,0.9618
309,0.0236,0.9926,0.1865,0.9618
310,0.0235,0.9927,0.1864,0.9619
311,0.0234,0.9927,0.1863,0.9619
312,0.0233,0.9927,0.1863,0.9619
313,0.0233,0.9927,0.1862,0.9619
314,0.0232,0.9928,0.1861,0.9620
315,0.0231,0.9928,0.1861,0.9620
316,0.0231,0.9928,0.1860,0.9620
317,0.0230,0.9928,0.1860,0.9621
318,0.0229,0.9929,0.1859,0.9621
319,0.0228,0.9929,0.1858,0.9621
320,0.0228,0.9929,0.1858,0.9621
321,0.0228,0.9929,0.1858,0.9621
322,0.0227,0.9929,0.1858,0.9622
323,0.0227,0.9929,0.1857,0.9622
324,0.0226,0.9929,0.1857,0.9622
325,0.0225,0.9930,0.1857,0.9622
326,0.0225,0.9930,0.1857,0.9622
327,0.0224,0.9930,0.1857,0.9622
328,0.0223,0.9930,0.1857,0.9622
329,0.0223,0.9930,0.1857,0.9622
330,0.0222,0.9931,0.1858,0.9622
331,0.0221,0.9931,0.1858,0.9622
332,0.0221,0.9931,0.1858,0.9622
333,0.0220,0.9931,0.1858,0.9622
334,0.0219,0.9932,0.1858,0.9623
335,0.0219,0.9932,0.1858,0.9623
336,0.0218,0.9932,0.1858,0.9623
337,0.0217,0.9932,0.1857,0.9623
338,0.0217,0.9932,0.1857,0.9623
339,0.0216,0.9933,0.1857,0.9623
340,0.0216,0.9933,0.1857,0.9623
341,0.0215,0.9933,0.1857,0.9623
342,0.0214,0.9933,0.1857,0.9623
343,0.0214,0.9933,0.1857,0.9623
344,0.0213,0.9934,0.1857,0.9624
345,0.0212,0.9934,0.1857,0.9624
346,0.0212,0.9934,0.1857,0.9624
347,0.0211,0.9934,0.1856,0.9624
348,0.0211,0.9934,0.1856,0.9624
349,0.0210,0.9934,0.1856,0.9624
350,0.0209,0.9935,0.1856,0.9624
351,0.0209,0.9935,0.1856,0.9624
352,0.0208,0.9935,0.1856,0.9625
353,0.0208,0.9935,0.1856,0.9625
354,0.0207,0.9935,0.1856,0.9625
355,0.0208,0.9935,0.1855,0.9625
356,0.0207,0.9935,0.1855,0.9625
357,0.0207,0.9936,0.1854,0.9626
358,0.0206,0.9936,0.1854,0.9626
359,0.0205,0.9936,0.1853,0.9626
360,0.0205,0.9936,0.1852,0.9626
361,0.0204,0.9936,0.1852,0.9626
362,0.0204,0.9937,0.1851,0.9627
363,0.0203,0.9937,0.1851,0.9627
364,0.0203,0.9937,0.1850,0.9627
365,0.0202,0.9937,0.1850,0.9627
366,0.0201,0.9937,0.1850,0.9628
367,0.0201,0.9937,0.1849,0.9628
368,0.0200,0.9938,0.1849,0.9628
369,0.0200,0.9938,0.1848,0.9628
370,0.0199,0.9938,0.1848,0.9628
371,0.0199,0.9938,0.1848,0.9629
372,0.0198,0.9938,0.1847,0.9629
373,0.0198,0.9938,0.1847,0.9629
374,0.0197,0.9939,0.1847,0.9629
375,0.0197,0.9939,0.1847,0.9629
376,0.0196,0.9939,0.1846,0.9630
377,0.0196,0.9939,0.1846,0.9630
378,0.0195,0.9939,0.1846,0.9630
379,0.0195,0.9939,0.1846,0.9630
380,0.0194,0.9940,0.1846,0.9630
381,0.0194,0.9940,0.1845,0.9631
382,0.0193,0.9940,0.1845,0.9631
383,0.0193,0.9940,0.1845,0.9631
384,0.0192,0.9940,0.1845,0.9631
385,0.0192,0.9940,0.1845,0.9631
386,0.0191,0.9940,0.1845,0.9632
387,0.0191,0.9941,0.1845,0.9632
388,0.0191,0.9940,0.1847,0.9632
389,0.0191,0.9941,0.1846,0.9632
390,0.0190,0.9941,0.1845,0.9632
391,0.0190,0.9941,0.1845,0.9632
392,0.0189,0.9941,0.1844,0.9633
393,0.0189,0.9941,0.1843,0.9633
394,0.0188,0.9941,0.1843,0.9633
395,0.0188,0.9941,0.1842,0.9633
396,0.0188,0.9942,0.1842,0.9633
397,0.0187,0.9942,0.1841,0.9633
398,0.0187,0.9942,0.1841,0.9633
399,0.0186,0.9942,0.1840,0.9633
400,0.0186,0.9942,0.1840,0.9634
401,0.0185,0.9942,0.1840,0.9634
402,0.0185,0.9942,0.1839,0.9634
403,0.0184,0.9943,0.1839,0.9634
404,0.0184,0.9943,0.1839,0.9634
405,0.0183,0.9943,0.1838,0.9634
406,0.0183,0.9943,0.1838,0.9634
407,0.0182,0.9943,0.1838,0.9635
408,0.0182,0.9943,0.1838,0.9635
409,0.0182,0.9943,0.1837,0.9635
410,0.0181,0.9944,0.1837,0.9635
411,0.0181,0.9944,0.1837,0.9635
412,0.0180,0.9944,0.1837,0.9635
413,0.0180,0.9944,0.1837,0.9636
414,0.0179,0.9944,0.1837,0.9636
415,0.0179,0.9944,0.1837,0.9636
416,0.0179,0.9944,0.1837,0.9636
417,0.0179,0.9944,0.1837,0.9636
418,0.0179,0.9944,0.1836,0.9636
419,0.0178,0.9945,0.1835,0.9637
420,0.0178,0.9945,0.1833,0.9637
421,0.0177,0.9945,0.1832,0.9637
422,0.0177,0.9945,0.1830,0.9638
423,0.0176,0.9945,0.1829,0.9638
424,0.0176,0.9945,0.1827,0.9638
425,0.0176,0.9945,0.1826,0.9638
426,0.0175,0.9945,0.1825,0.9638
427,0.0175,0.9946,0.1823,0.9638
428,0.0174,0.9946,0.1822,0.9639
429,0.0174,0.9946,0.1821,0.9639
430,0.0174,0.9946,0.1820,0.9639
431,0.0173,0.9946,0.1818,0.9639
432,0.0173,0.9946,0.1817,0.9639
433,0.0172,0.9946,0.1816,0.9640
434,0.0172,0.9946,0.1815,0.9640
435,0.0172,0.9947,0.1814,0.9640
436,0.0171,0.9947,0.1813,0.9640
437,0.0171,0.9947,0.1812,0.9640
438,0.0170,0.9947,0.1810,0.9641
439,0.0170,0.9947,0.1809,0.9641
440,0.0170,0.9947,0.1808,0.9641
441,0.0169,0.9947,0.1807,0.9641
442,0.0169,0.9947,0.1806,0.9641
443,0.0169,0.9948,0.1805,0.9642
444,0.0168,0.9948,0.1804,0.9642
445,0.0168,0.9948,0.1804,0.9642
446,0.0167,0.9948,0.1803,0.9642
447,0.0167,0.9948,0.1802,0.9642
448,0.0167,0.9948,0.1801,0.9643
449,0.0166,0.9948,0.1800,0.9643
450,0.0166,0.9948,0.1799,0.9643
451,0.0166,0.9948,0.1799,0.9643
452,0.0166,0.9948,0.1798,0.9644
453,0.0166,0.9948,0.1797,0.9644
454,0.0165,0.9948,0.1796,0.9644
455,0.0165,0.9949,0.1795,0.9644
456,0.0164,0.9949,0.1795,0.9644
457,0.0164,0.9949,0.1794,0.9645
458,0.0164,0.9949,0.1793,0.9645
459,0.0163,0.9949,0.1792,0.9645
460,0.0163,0.9949,0.1791,0.9645
461,0.0163,0.9949,0.1790,0.9645
462,0.0162,0.9949,0.1789,0.9646
463,0.0162,0.9949,0.1789,0.9646
464,0.0162,0.9950,0.1788,0.9646
465,0.0161,0.9950,0.1787,0.9646
466,0.0161,0.9950,0.1786,0.9646
467,0.0161,0.9950,0.1786,0.9647
468,0.0160,0.9950,0.1785,0.9647
469,0.0160,0.9950,0.1784,0.9647
470,0.0160,0.9950,0.1784,0.9647
471,0.0159,0.9950,0.1783,0.9648
472,0.0159,0.9950,0.1782,0.9648
473,0.0159,0.9951,0.1782,0.9648
474,0.0158,0.9951,0.1781,0.9648
475,0.0158,0.9951,0.1781,0.9648
476,0.0158,0.9951,0.1780,0.9649
477,0.0157,0.9951,0.1779,0.9649
478,0.0157,0.9951,0.1779,0.9649
479,0.0157,0.9951,0.1778,0.9649
480,0.0156,0.9951,0.1778,0.9649
481,0.0156,0.9951,0.1777,0.9650
482,0.0156,0.9951,0.1777,0.9650
483,0.0155,0.9952,0.1776,0.9650
484,0.0155,0.9952,0.1776,0.9650
485,0.0155,0.9952,0.1775,0.9650
486,0.0154,0.9952,0.1775,0.9651
487,0.0154,0.9952,0.1774,0.9651
488,0.0154,0.9952,0.1774,0.9651
489,0.0153,0.9952,0.1773,0.9651
490,0.0153,0.9952,0.1773,0.9651
491,0.0153,0.9952,0.1773,0.9652
492,0.0153,0.9952,0.1772,0.9652
493,0.0153,0.9952,0.1771,0.9652
494,0.0153,0.9952,0.1771,0.9652
495,0.0152,0.9953,0.1770,0.9653
496,0.0152,0.9953,0.1769,0.9653
497,0.0152,0.9953,0.1768,0.9653
498,0.0151,0.9953,0.1768,0.9653
499,0.0151,0.9953,0.1767,0.9653
500,0.0151,0.9953,0.1766,0.9654
501,0.0151,0.9953,0.1765,0.9654
